Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
132,Aaron Rodgers NYJ (12),QB20,,139,127,133.0
133,Jerry Jeudy CLE (10),WR54,,135,132,133.5
134,Romeo Doubs GB (10),WR55,,119,149,134.0
135,Mike Williams NYJ (12),WR56,,131,146,138.5
136,Ty Chandler MIN (6),RB44,,150,128,139.0
137,Joshua Palmer LAC (5),WR57,,140,141,140.5
138,Baker Mayfield TB (11),QB21,,153,129,141.0
139,Rico Dowdle DAL (7),RB45,,148,135,141.5
140,Kendre Miller NO (12),RB46,,141,143,142.0
141,Luke Musgrave GB (10),TE17,,137,148,142.5
142,Gabe Davis JAC (12),WR58,,143,142,142.5
143,Chuba Hubbard CAR (11),RB47,,138,150,144.0
144,Jaylen Wright MIA (6),RB48,,144,144,144.0
145,Adonai Mitchell IND (14),WR59,,120,172,146.0
146,Deshaun Watson CLE (10),QB22,,159,133,146.0
147,Rashid Shaheed NO (12),WR60,,133,159,146.0
148,Taysom Hill NO (12),TE18,,154,140,147.0
149,MarShawn Lloyd GB (10),RB49,,149,147,148.0
150,Xavier Legette CAR (11),WR61,,132,170,151.0
151,Antonio Gibson NE (14),RB50,,157,145,151.0
152,Brandin Cooks DAL (7),WR62,,147,155,151.0
153,Kimani Vidal LAC (5),RB51,,165,138,151.5
154,Jahan Dotson WAS (14),WR63,,152,152,152.0
155,Josh Downs IND (14),WR64,,142,163,152.5
156,Michael Wilson ARI (11),WR65,,177,137,157.0
157,Tyler Allgeier ATL (12),RB52,,158,160,159.0
158,Jaleel McLaughlin DEN (14),RB53,,166,156,161.0
159,Will Levis TEN (5),QB23,,175,151,163.0
160,Hunter Henry NE (14),TE19,,169,157,163.0
161,Troy Franklin DEN (14),WR66,,146,184,165.0
162,Dontayvion Wicks GB (10),WR67,,155,175,165.0
163,Quentin Johnston LAC (5),WR68,,156,174,165.0
164,Geno Smith SEA (10),QB24,,178,153,165.5
165,Cade Otton TB (11),TE20,,162,173,167.5
166,Adam Thielen CAR (11),WR69,,173,164,168.5
167,Ray Davis BUF (12),RB54,,170,168,169.0
168,Tyrone Tracy Jr. NYG (11),RB55,,176,165,170.5
169,Tyler Conklin NYJ (12),TE21,,181,161,171.0
170,Chigoziem Okonkwo TEN (5),TE22,,183,162,172.5
171,J.J. McCarthy MIN (6),QB25,,168,177,172.5
172,Ja'Lynn Polk NE (14),WR70,,160,187,173.5
173,Darnell Mooney ATL (12),WR71,,171,176,173.5
174,Ricky Pearsall SF (9),WR72,,151,197,174.0
175,Isaiah Likely BAL (14),TE23,,172,178,175.0
176,Derek Carr NO (12),QB26,,203,154,178.5
177,Bucky Irving TB (11),RB56,,187,171,179.0
178,DeMario Douglas NE (14),WR73,,174,185,179.5
179,Daniel Jones NYG (11),QB27,,202,158,180.0
180,Bryce Young CAR (11),QB28,,194,167,180.5
181,Elijah Mitchell SF (9),RB57,,182,180,181.0
182,Ben Sinnott WAS (14),TE24,,161,206,183.5
183,Roman Wilson PIT (9),WR74,,164,205,184.5
184,Jermaine Burton CIN (12),WR75,,179,190,184.5
185,Braelon Allen NYJ (12),RB58,,180,191,185.5
186,Roschon Johnson CHI (7),RB59,,191,182,186.5
187,Dameon Pierce HOU (14),RB60,,186,188,187.0
188,Noah Fant SEA (10),TE25,,197,179,188.0
189,Jonnu Smith MIA (6),TE26,,214,166,190.0
190,Russell Wilson PIT (9),QB29,,211,169,190.0
191,Clyde Edwards-Helaire KC (6),RB61,,193,189,191.0
192,Bo Nix DEN (14),QB30,,205,181,193.0
193,Drake Maye NE (14),QB31,,185,201,193.0
194,Khalil Herbert CHI (7),RB62,,189,203,196.0
195,Wan'Dale Robinson NYG (11),WR76,,199,193,196.0
196,Marvin Mims Jr. DEN (14),WR77,,188,209,198.5
197,Audric Estime DEN (14),RB63,,198,202,200.0
198,Mike Gesicki CIN (12),TE27,,216,186,201.0
199,Alexander Mattison LV (10),RB64,,200,204,202.0
200,Rashod Bateman BAL (14),WR78,,192,214,203.0
201,Ja'Tavion Sanders CAR (11),TE28,,195,212,203.5
202,Luke McCaffrey WAS (14),WR79,,190,223,206.5
203,Juwan Johnson NO (12),TE29,,221,194,207.5
204,Demarcus Robinson LAR (6),WR80,,196,219,207.5
205,Malachi Corley NYJ (12),WR81,,184,233,208.5
206,Justin Fields PIT (9),QB32,,223,195,209.0
207,Keaton Mitchell BAL (14),RB65,,207,217,212.0
208,Will Shipley PHI (5),RB66,,208,216,212.0
209,San Francisco 49ers DST (9),DST1,,163,,163.0
